Nome,Endereço,Latitude,Longitude,Avaliação,Total de Avaliações,Telefone,Website,Categorias,Place ID,Link Google Maps,Horário de Funcionamento
Cedro Technologies,"Av. Anselmo Alves dos Santos, 1111 - 4º Andar - Salas 3 e 4 - Tibery, Uberlândia - MG, 38405-167, Brasil",-18.9095577,-48.2486428,4.7,169.0,(11) 3014-0200,http://www.cedrotech.com/,"point_of_interest, establishment",ChIJJ48SqqlFpJQRAuqV_6X6e1s,https://maps.google.com/?cid=6592138070451415554,segunda-feira: 07:00 – 21:00 | terça-feira: 07:00 – 21:00 | quarta-feira: 07:00 – 21:00 | quinta-feira: 07:00 – 21:00 | sexta-feira: 07:00 – 21:00 | sábado: Fechado | domingo: Fechado
Queslo Tecnologia e Inovação - Sistemas e Softwares para academias,"R. José Rodrigues Queiroz Filho, 727 - Santa Mônica, Uberlândia - MG, 38408-252, Brasil",-18.9222834,-48.2361563,5.0,63.0,(34) 98848-5154,https://queslo.com.br/softwares/,"point_of_interest, establishment",ChIJB5iG1alFpJQReifuZUJIfJQ,https://maps.google.com/?cid=10699506264740603770,segunda-feira: 06:00 – 22:00 | terça-feira: 06:00 – 22:00 | quarta-feira: 06:00 – 22:00 | quinta-feira: 06:00 – 22:00 | sexta-feira: 06:00 – 22:00 | sábado: 06:00 – 22:00 | domingo: 06:00 – 22:00
EZ SOFT,"Av. Cesário Alvim, 3813 - Brasil, Uberlândia - MG, 38400-696, Brasil",-18.8948989,-48.2568953,4.4,50.0,(34) 3218-7079,https://ezsoft.com.br/,"point_of_interest, establishment",ChIJbwTceMhFpJQRK0enEweCR-w,https://maps.google.com/?cid=17025719883203561259,segunda-feira: 08:00 – 17:00 | terça-feira: 08:00 – 17:00 | quarta-feira: 08:00 – 17:00 | quinta-feira: 08:00 – 17:00 | sexta-feira: 08:00 – 17:00 | sábado: Fechado | domingo: Fechado
Inteli Software,"Av. Getúlio Vargas, 2896 - Jaraguá, Uberlândia - MG, 38413-023, Brasil",-18.9309915,-48.3019234,5.0,24.0,(34) 99311-5452,https://intelisoftware.com.br/,"point_of_interest, establishment",ChIJsbCnpuJFpJQRZyfDiyBnbVg,https://maps.google.com/?cid=6371862437280556903,segunda-feira: 08:00 – 18:00 | terça-feira: 08:00 – 18:00 | quarta-feira: 08:00 – 18:00 | quinta-feira: 08:00 – 18:00 | sexta-feira: 08:00 – 18:00 | sábado: Fechado | domingo: Fechado
Virtux Tech,"Av. Rondon Pacheco, 3338 - Saraiva, Uberlândia - MG, 38408-404, Brasil",-18.9186075,-48.2660083,4.7,52.0,(34) 3236-1002,http://www.virtux.com.br/,"point_of_interest, establishment",ChIJCys7UwdFpJQRvlhJw9I0pQM,https://maps.google.com/?cid=262674233095182526,segunda-feira: 08:00 – 18:00 | terça-feira: 08:00 – 18:00 | quarta-feira: 08:00 – 18:00 | quinta-feira: 08:00 – 18:00 | sexta-feira: 08:00 – 18:00 | sábado: 08:00 – 12:00 | domingo: Fechado
Code Square,"Av. Floriano Peixoto, 1615 - Nossa Sra. Aparecida, Uberlândia - MG, 38400-702, Brasil",-18.9104145,-48.2701608,5.0,40.0,(34) 93618-0385,https://www.codesquare.com.br/,"point_of_interest, establishment",ChIJv73v6xZFpJQREmRb_hsEsio,https://maps.google.com/?cid=3076526013725500434,segunda-feira: 09:00 – 18:00 | terça-feira: 09:00 – 18:00 | quarta-feira: 09:00 – 18:00 | quinta-feira: 09:00 – 18:00 | sexta-feira: 09:00 – 18:00 | sábado: Fechado | domingo: Fechado
GAP Sistemas,"Avenida Nicomedes Alves, 3600 - Sala 326 - Morada da Colina, Uberlândia - MG, 38411-106, Brasil",-18.9478194,-48.274663,4.7,3.0,(34) 98408-1720,http://sistemasgap.com.br/,"point_of_interest, establishment",ChIJOenvGeFFpJQRY94ViHsrsBA,https://maps.google.com/?cid=1202508910072028771,segunda-feira: 08:00 – 20:00 | terça-feira: 08:00 – 20:00 | quarta-feira: 08:00 – 20:00 | quinta-feira: 08:00 – 20:00 | sexta-feira: 08:00 – 20:00 | sábado: Fechado | domingo: Fechado
Kyros Tecnologia,"Av. Floriano Peixoto, 3044 - Brasil, Uberlândia - MG, 38400-704, Brasil",-18.9010612,-48.2629267,4.8,67.0,(34) 3233-7300,https://kyros.com.br/,"point_of_interest, establishment",ChIJUbL3vb5FpJQRR7mLtvd3nVc,https://maps.google.com/?cid=6313334158446541127,segunda-feira: 08:00 – 18:00 | terça-feira: 08:00 – 18:00 | quarta-feira: 08:00 – 18:00 | quinta-feira: 08:00 – 18:00 | sexta-feira: 08:00 – 18:00 | sábado: Fechado | domingo: Fechado
Compucenter Software,"Av. Cesário Alvim, 2079 - Nossa Sra. Aparecida, Uberlândia - MG, 38400-694, Brasil",-18.9072601,-48.2661445,4.8,269.0,(34) 3221-4200,https://compucenter.net.br/,"electronics_store, point_of_interest, store, establishment",ChIJv4JhLbtFpJQRjPcNHdPRGTg,https://maps.google.com/?cid=4042492845197490060,segunda-feira: 08:00 – 18:00 | terça-feira: 08:00 – 18:00 | quarta-feira: 08:00 – 18:00 | quinta-feira: 08:00 – 18:00 | sexta-feira: 08:00 – 18:00 | sábado: Fechado | domingo: Fechado
Crosoften Tecnologia - Base Tecnológica,"Av. dos Vinhedos, 21 - Segundo andar, sala 01 - Jardim Sul, Uberlândia - MG, 38411-159, Brasil",-18.9527103,-48.26593339999999,4.2,45.0,0800 591 3121,https://crosoften.com/,"point_of_interest, establishment",ChIJo926fP5EpJQREq7VQ0fjfJk,https://maps.google.com/?cid=11059964680135355922,segunda-feira: 09:00 – 18:00 | terça-feira: 09:00 – 18:00 | quarta-feira: 09:00 – 18:00 | quinta-feira: 09:00 – 18:00 | sexta-feira: 09:00 – 18:00 | sábado: Fechado | domingo: Fechado
